brutal, sour, 2021, 720560565, Pop Rock,final_project_folder\OLIVIARODRGIOWAV\Olivia Rodrigo - brutal.wav,
traitor, sour, 2021, 1828893556, Pop Rock,final_project_folder\OLIVIARODRGIOWAV\Olivia-Rodrigo-traitor-_Lyric-Video_.wav
drivers license, sour, 2021, 2416747405, Pop,final_project_folder\OLIVIARODRGIOWAV\Olivia Rodrigo - drivers license.wav
1 step forward 3 steps back, sour, 2021, 578119535, Pop Rock,final_project_folder\OLIVIARODRGIOWAV\Olivia Rodrigo - 1 step forward 3 steps back.wav
deja vu, sour, 2021, 1849652560, Pop,final_project_folder\OLIVIARODRGIOWAV\Olivia Rodrigo - deja vu.wav
good 4 u, sour, 2021, 2368375975, Pop Punk,final_project_folder\OLIVIARODRGIOWAV\Olivia Rodrigo - good 4 u.wav
enough for you, sour, 2021, 526974025, Pop Rock,final_project_folder\OLIVIARODRGIOWAV\Olivia Rodrigo - good 4 u.wav
happier, sour, 2021, 1330783645, Pop,final_project_folder\OLIVIARODRGIOWAV\Olivia Rodrigo - happier (Lyric Video).wav
jealousy jealousy, sour, 2021, 1047577345, Pop,final_project_folder\OLIVIARODRGIOWAV\Olivia-Rodrigo-jealousy_-jealousy-_Lyric-Video_.wav
favorite crime, sour, 2021, 1267832105, Pop,final_project_folder\OLIVIARODRGIOWAV\Olivia Rodrigo - favorite crime (Lyric Video).wav
hope ur ok, sour, 2021, 363196001, Pop,final_project_folder\OLIVIARODRGIOWAV\Olivia Rodrigo - hope ur ok (Lyric Video).wav
all-american bitch, guts, 2023, 319068053, Pop Rock,final_project_folder\OLIVIARODRGIOWAV\01 all-american bitch.wav
vampire, guts, 2023, 1274688315, Pop Rock,final_project_folder\OLIVIARODRGIOWAV\02 vampire.wav
lacy, guts, 2023, 274847052, Pop,final_project_folder\OLIVIARODRGIOWAV\03 lacy.wav
ballad of a homeschooled girl, guts, 2023, 181781042, Pop,final_project_folder\OLIVIARODRGIOWAV\04 ballad of a homeschooled girl.wav
making the bed, guts, 2023, 208122404, Pop,final_project_folder\OLIVIARODRGIOWAV\05 making the bed.wav
logical, guts, 2023, 176123608, Pop,final_project_folder\OLIVIARODRGIOWAV\06 logical.wav
get him back!, guts, 2023, 390621567, Pop Punk,final_project_folder\OLIVIARODRGIOWAV\07 get him back!.wav
love is embarrassing, guts, 2023, 246450053, Pop Rock,final_project_folder\OLIVIARODRGIOWAV\08 love is embarrassing.wav
the grudge, guts, 2023, 263353224, Pop Rock,final_project_folder\OLIVIARODRGIOWAV\09 the grudge.wav
pretty isn't pretty, guts, 2023, 159976933, Pop,final_project_folder\OLIVIARODRGIOWAV\10 pretty isn’t pretty.wav
teenage dream, guts, 2023, 134799542, Pop Rock,final_project_folder\OLIVIARODRGIOWAV\11 teenage dream.wav
